ID,Category,Question,Option A,Option B,Option C,Option D,Answer
1,詞彙填空（文脈判斷）,長年住み慣れた家を____、新しい生活を始めることにした。,名残惜しんで,見過ごして,見計らって,見下ろして,A
2,類義詞選擇,今回の事件は、彼のキャリアに大きな____を及ぼした。,影響,感銘,関心,感動,A
3,反義詞選擇,彼はいつも____な性格で、細かいことを気にしない。,大雑把,几帳面,臆病,強気,B
4,熟語・慣用語填空,彼は、一度決めたことは____を通してもやり遂げる。,火,水,風,雷,A
5,外來語應用,新しいプロジェクトの____として、まずは市場調査を行う。,プラン,スキル,イメージ,チャンス,A
6,動詞活用填空,もう少し早く家を____ば、渋滞に巻き込まれなかったのに。,出た,出る,出れば,出よう,C
7,漢字讀音測驗,この書類は、至急『回覧』してください。,かいらん,かいがん,きらん,きがん,A
8,日文同音異義詞測驗,新しい家を『建築』する。,けんちく,けんこく,けんぎょう,けんきゅう,A
9,詞彙填空（文脈判斷）,彼は非常に____な性格で、どんな状況でも冷静に対応できる。,理性的,感情的,楽観的,悲観的,A
10,熟語・慣用語填空,彼は仕事で____が立たないほど忙しい日々を送っている。,目,手,足,頭,B
