ID,Category,Question,Option A,Option B,Option C,Option D,Answer
1,詞彙填空（文脈判斷）,田中さんはいつも新しいことに____する意欲がある。,挑戦,承諾,調和,調査,A
2,類義詞選擇,この資料は非常に____だ。別の言葉で言い換えると？,簡単,複雑,重要,無駄,C
3,反義詞選擇,この薬は効果が____だ。反対の意味の言葉は？,急速,緩慢,絶大,安全,B
4,熟語・慣用語填空,彼はまだ若いのに、____としている。,一人前,一安心,一苦労,一丁前,D
5,外來語應用,明日の会議の____をしてください。,アンケート,アポイント,アジェンダ,アレンジ,C
6,動詞活用填空,雨が____そうだから、傘を持って行った方がいい。,降る,降り,降りる,降りそう,D
7,漢字讀音測驗,「詳細」な説明をお願いします。この漢字の読み方は？,しょうさい,しょうぞう,しょうじょう,しょうちょう,A
8,日文同音異義詞測驗,会議で新しい____が出た。（案/暗/庵/鞍）,暗,案,庵,鞍,B
9,詞彙填空（文脈判斷）,このプロジェクトは、多くの人の____のおかげで成功した。,努力,努力家,努力的,努力感,A
10,類義詞選擇,彼はとても____な人だ。別の言葉で言い換えると？,正直,親切,賢い,頑固,A
