ID,Category,Question,Option A,Option B,Option C,Option D,Answer
1,詞彙填空（文脈判斷）,旅行の___を立てるのが好きです。どこに行くか、何をするか考えるのが楽しい。,計画,結果,原因,理由,A
2,詞彙填空（文脈判斷）,このケーキはとても___ですね。甘すぎず、ちょうどいい。,立派,素敵,上品,失礼,C
3,類義詞選擇,「簡単」と最も意味が近い言葉を選んでください。,複雑,容易,困難,深刻,B
4,類義詞選擇,「多分」と最も意味が近い言葉を選んでください。,絶対,必ず,恐らく,決して,C
5,反義詞選擇,「始まる」の反対の意味の言葉を選んでください。,続く,終わる,始まる,続く,B
6,反義詞選擇,「明るい」の反対の意味の言葉を選んでください。,軽い,暗い,高い,短い,B
7,熟語・慣用語填空,彼はまだ若いのに、___が広いね。色々なことを知っている。,頭,顔,目,耳,D
8,熟語・慣用語填空,今日のテストは___だった。全然分からなかった。,骨が折れる,頭が痛い,手が足りない,目が回る,B
9,外來語應用,新しいパソコンを買ったので、___をインストールするのが楽しみだ。,サラリー,ソフト,パート,アルバイト,B
10,外來語應用,今日は友達と___でランチを食べました。,デパート,レストラン,アパート,スーパー,B
11,動詞活用填空,田中さんはいつも笑顔で、みんなを___。,喜ばせる,喜ぶ,喜ばない,喜んだ,A
12,動詞活用填空,雨が___そうなので、傘を持って行った方がいいですよ。,降る,降りる,降って,降り,A
13,漢字讀音測驗,「経験」の読み方はどれですか。,けいけん,けけん,ぎょうけん,ぎけん,A
14,漢字讀音測驗,「努力」の読み方はどれですか。,どりょく,どろく,とりょく,とろく,A
15,日文同音異義詞測驗,「かえる」という言葉で、動物を表す漢字はどれですか。,変える,帰る,替える,蛙,D
16,日文同音異義詞測驗,「はし」という言葉で、食事で使う道具を表す漢字はどれですか。,橋,端,箸,走,C
17,詞彙填空（文脈判斷）,この問題は少し___から、よく考えてください。,普通,複雑,簡単,便利,B
18,類義詞選擇,「心配」と最も意味が近い言葉を選んでください。,安心,不安,希望,期待,B
19,反義詞選擇,「多い」の反対の意味の言葉を選んでください。,高い,少ない,長い,広い,B
20,動詞活用填空,明日は早く___ので、もう寝ます。,起きる,起きた,起き,起きて,A
